Number,Gender,Background,Face color,Occasions,Eyes,Accs on face,Facial Expressions,Accs on head,Clothes,Little Accs
455,1,5,1,2,1,0,1,10,12,0
456,1,3,3,2,1,4,1,3,20,0
457,1,9,1,2,1,0,1,10,13,4
458,1,10,1,2,1,0,1,3,16,3
459,1,2,1,2,1,5,1,7,13,0
460,1,7,1,2,1,5,1,10,13,0
461,2,4,5,2,1,2,1,0,10,4
462,1,1,1,2,1,4,1,9,16,0
463,1,10,1,2,1,3,1,0,16,5
464,2,6,5,2,1,0,1,1,10,5
465,1,2,1,2,1,0,1,0,14,3
466,1,7,1,2,1,1,1,0,15,3
467,2,8,5,2,1,0,1,10,14,4
468,1,2,1,2,1,0,1,10,1,5
469,1,2,1,2,1,1,1,0,16,0
470,1,1,1,2,1,0,1,3,12,4
471,2,2,5,2,1,0,1,0,16,4
472,1,8,1,2,1,4,1,3,11,0
473,1,9,3,2,1,0,1,3,12,1
474,1,3,1,2,1,1,1,0,11,0
475,2,5,5,2,1,0,1,0,16,5
476,1,6,4,2,1,7,1,10,11,0
477,1,10,2,2,1,5,2,9,1,0
478,1,9,1,2,1,6,1,4,12,0
479,1,10,4,2,1,0,1,0,1,0
480,2,4,5,2,1,0,1,0,20,2
481,1,7,2,2,2,0,2,2,15,0
482,1,1,2,2,1,4,2,4,12,0
483,1,7,1,2,1,0,1,4,14,1
484,1,3,1,2,1,1,1,0,14,0
485,1,9,1,2,1,5,1,4,11,0
486,1,2,1,2,2,0,1,0,11,0
487,1,10,1,1,1,5,1,5,4,0
488,1,4,1,2,1,0,1,1,15,4
489,1,9,3,2,1,0,1,10,13,2
490,1,2,1,1,2,0,1,5,2,0
491,1,6,4,2,1,4,1,0,13,5
492,1,8,1,2,1,6,1,0,14,0
493,1,2,1,1,1,5,1,5,3,0
494,1,8,2,2,1,4,2,1,12,0
495,1,5,1,2,1,0,1,9,11,2
496,1,10,1,2,1,3,1,0,13,0
497,1,3,1,2,1,3,1,1,20,0
